???ulation income in region of Ukraine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(UAH mln.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Income ,,,,,,,,,,,,,,,Disposable income,,,,,,,,,,,,,,
Sumy,2686.3,3276.7,4141.1,5972.0,7459.2,9876.3,13187.2,13426.4,16875.5,19592.9,22582.3,23558.6,23938.1,29810.4,33944.4,115.4,112.5,112.3,122.7,112.8,114.0,107.8,88.5,114.3,107.8,113.5,104.8,90.3,82.1,97.9
Ternopil,2158.1,2794.6,3524.2,5032.7,6283.4,8063.5,10583.0,10634.2,13824.2,16351.3,18560.6,18993.8,18400.5,23277.8,26884.4,117.0,111.9,117.5,128.1,115.3,112.9,104.5,86.9,120.0,109.1,112.8,103.1,86.5,83.1,101.5
Kharkiv,2929.1,3468.9,4489.6,6355.7,7819.6,10328.5,14065.7,14633.1,18450.5,21787.8,24870.0,26098.2,26274.0,31459.1,36587.7,122.6,110.8,114.5,124.2,114.0,115.8,105.8,87.5,114.8,109.5,112.2,106.1,89.8,79.6,100.8
Kherson,2399.6,2832.3,3792.0,5400.5,6492.2,8374.5,11248.1,11440.3,14881.7,17654.3,19939.9,21724.0,20727.9,27066.9,31242.7,118.6,102.2,121.8,124.1,109.6,115.9,104.1,88.2,118.1,108.1,111.3,108.9,85.2,86.6,100.4
Khmelnytskiy,2640.3,3075.3,4024.1,5733.3,6943.1,8965.3,11938.6,12238.2,15781.0,18738.2,21590.6,22789.0,22686.1,28525.2,32650.0,117.2,107.6,117.3,124.5,112.7,112.4,103.9,88.1,116.6,109.5,113.3,105.7,88.6,84.3,100.8
Cherkasy,2481.9,2961.9,3883.4,5534.0,6795.5,8782.7,11987.2,12517.5,15769.2,18246.3,20717.9,21633.2,21760.5,26226.6,30608.7,114.6,109.4,118.0,122.7,112.0,113.3,108.5,89.5,115.1,107.7,111.1,104.4,89.3,80.0,102.0
Chernivtsi,2028.6,2741.9,3607.9,5078.0,6078.0,7738.0,9793.2,10013.3,13503.3,15992.5,18107.5,19438.2,18475.6,23137.7,26838.3,116.5,109.3,123.1,124.8,108.7,114.1,102.3,90.8,125.0,111.7,113.0,108.7,85.7,84.3,103.0
Chernihiv,2769.2,3256.6,4228.7,5979.1,7201.3,9337.4,12353.4,13155.5,16625.0,19465.0,22769.6,23599.7,23093.4,27690.2,31707.1,118.4,110.3,115.6,121.9,108.9,114.4,105.3,89.7,115.1,106.5,116.2,104.0,85.9,77.7,99.4
city of Kyiv,4257.4,5541.8,7623.9,10683.3,13566.9,18233.2,24960.2,27474.5,37012.7,42576.7,52708.9,55841.6,62715.1,75794.4,91356.6,118.6,114.2,126.7,125.4,117.5,117.4,111.7,95.5,123.4,105.7,117.8,105.8,100.2,84.5,106.1
city of Sevastopol,2399.2,3149.8,4177.0,5723.3,6790.6,9093.1,12111.6,12566.4,17078.3,19918.6,23186.0,26584.4,…,…,…,123.6,117.7,125.2,122.1,107.1,120.0,106.7,90.5,121.1,105.5,112.9,116.2,…,…,…
